"player_key","games","fumbles_rec","fumbles_lost","fumbles_fum","interceptions_td","interceptions_yds","interceptions_int","receiving_td","receiving_yds","receiving_rec","rushing_td","rushing_yds","rushing_car","receiving_long","rushing_long","receiving_avg","rushing_avg","nfl_player_id","nfl_name","nfl_rookie_season","avg_weekly_ppr","n_weeks"
"troy fumagalli",11,0,0,0,0,0,0,4,516,43,0,0,0,44,NA,12,NA,"00-0034393","Troy Fumagalli",2019,2.63333333333333,6
"troy niklas",12,0,0,0,0,0,0,5,422,28,0,0,0,66,NA,15.0714285714286,NA,"00-0031044","Troy Niklas",2014,1.7,4
"tucker fisk",7,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"00-0037654","Tucker Fisk",2023,0.95,2
"tucker kraft",4,0,0,0,0,0,0,1,173,14,0,3,1,57,3,12.3571428571429,3,"00-0038996","Tucker Kraft",2023,5.74375,16
"tyler conklin",7,0,0,0,0,0,0,5,406,28,0,0,0,42,NA,14.5,NA,"00-0034270","Tyler Conklin",2018,3.175,4
"tyler davis",11,0,0,0,0,0,0,1,148,17,0,0,0,38,NA,8.70588235294118,NA,"00-0036250","Tyler Davis",2020,0,1
"tyler eifert",11,0,0,0,0,0,0,4,624,44,0,0,0,38,NA,14.1818181818182,NA,"00-0030549","Tyler Eifert",2013,5.96875,16
"tyler higbee",9,0,0,0,0,0,0,8,563,38,0,0,0,65,NA,14.8157894736842,NA,"00-0033110","Tyler Higbee",2016,2.125,12
"tyler kroft",9,0,0,0,0,0,0,0,247,23,0,0,0,27,NA,10.7391304347826,NA,"00-0032214","Tyler Kroft",2015,2.3,13
"tyler mabry",9,0,0,0,0,0,0,3,155,13,0,0,0,52,NA,11.9230769230769,NA,"00-0036059","Tyler Mabry",2022,7.7,1
"tyler warren",12,0,1,1,0,0,0,6,978,81,4,189,21,38,48,12.0740740740741,9,"00-0040128","Tyler Warren",2025,11.0882352941176,17
"virgil green",12,0,0,0,0,0,0,5,453,31,0,19,4,48,11,14.6129032258065,4.75,"00-0028142","Virgil Green",2011,0.675,8
"will dissly",9,0,0,0,0,0,0,2,222,18,0,0,0,29,NA,12.3333333333333,NA,"00-0034159","Will Dissly",2018,8.9,4
"will mallory",11,0,1,1,0,0,0,3,538,42,0,0,0,39,NA,12.8095238095238,NA,"00-0038394","Will Mallory",2023,3.51818181818182,11
"will tye",1,0,0,0,0,0,0,1,76,4,0,0,0,42,NA,19,NA,"00-0032004","Will Tye",2015,8.03076923076923,13
"xavier grimble",9,0,0,0,0,0,0,2,248,23,0,0,0,30,NA,10.7826086956522,NA,"00-0031035","Xavier Grimble",2016,4.35,8
"zach ertz",13,0,0,0,0,0,0,6,837,66,0,0,0,68,NA,12.6818181818182,NA,"00-0030061","Zach Ertz",2013,7.38125,16
"zach gentry",11,0,0,0,0,0,0,2,475,30,0,0,0,42,NA,15.8333333333333,NA,"00-0035222","Zach Gentry",2019,0.7,2
"zach sudfeld",12,0,0,0,0,0,0,6,553,43,1,0,0,47,0,12.8604651162791,NA,"00-0029999","Zach Sudfeld",2013,2.26,5
"zaire mitchell paden",7,0,0,0,0,0,0,1,90,9,1,0,0,22,0,10,NA,"00-0037340","Zaire Mitchell-Paden",2025,1.23333333333333,3
