player_id,player_display_name,season,games,overall,round,pick,height,weight,pre_draft_ranking,pre_draft_position_ranking,pre_draft_grade,carries_pg,rushing_yards_pg,rushing_tds_pg,receptions_pg,receiving_yards_pg,receiving_tds_pg,fumble_recovery_own_pg,rushing_fumbles_lost_pg,rushing_fumbles_pg,target_fp_ppr,target_games,college_flag
00-0034830,Hayden Hurst,2018,12,25,1,25,77,250,28,1,88,1.16666666666667,6,0.166666666666667,3.72727272727273,47.0909090909091,0.181818181818182,0,0,0,3.53,10,1
00-0039489,Hayden Rucci,2025,8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.42857142857143,16,0,0,1,1,0,1,1
00-0032523,Henry Krieger-Coble,2016,11,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.90909090909091,35,0.0909090909090909,0,0,0,2.3,1,1
00-0038468,Henry Pearson,2023,11,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.27272727272727,29.9090909090909,0.454545454545455,0,0,0,0,1,1
00-0036008,Hunter Bryant,2020,12,NA,NA,NA,NA,NA,NA,NA,NA,1,-2,0,4.33333333333333,68.75,0.25,0,1,1,1.8,3,1
00-0033090,Hunter Henry,2016,12,35,2,4,77,250,27,1,89,0,0,0,3.83333333333333,53.9166666666667,0.25,0,0,0,9.98461538461538,13,1
00-0037004,Hunter Long,2021,11,81,3,18,77,254,52,2,82,0,0,0,5.18181818181818,62.2727272727273,0.454545454545455,0,0,0,0.6,3,1
00-0034365,Ian Thomas,2018,9,101,4,1,76,259,101,6,71,0,0,0,2.77777777777778,41.7777777777778,0.555555555555556,0,0,0,8.13,10,1
00-0035539,Isaac Nauta,2019,13,224,7,10,75,244,191,14,57,0,31,1,2.23076923076923,32.8461538461538,0.230769230769231,1,0,0,1.65,2,1
00-0037838,Isaiah Likely,2022,12,139,4,34,77,245,104,6,71,3,10,0,4.33333333333333,68,0.833333333333333,0,0,1,6.52142857142857,14,1
00-0032986,J.P. Holtz,2019,11,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.18181818181818,31.8181818181818,0.363636363636364,0,0,0,2.0125,8,1
00-0039356,Ja'Tavion Sanders,2024,12,101,4,1,76,245,64,2,80,1,12,0,3.25,50.5833333333333,0.166666666666667,0,0,0,4.88,15,1
00-0031042,Jace Amaro,2014,12,49,2,17,77,265,47,2,84,0,0,0,8.16666666666667,103.333333333333,0.583333333333333,0,0,0,6.03571428571429,14,1
00-0035671,Jace Sternberger,2019,12,75,3,11,76,251,71,4,77,1,4,0,3.91666666666667,67,0.833333333333333,0,0,0,2.1,5,1
00-0030181,Jack Doyle,2013,12,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,3.91666666666667,44.1666666666667,0.333333333333333,0,0,0,1.22857142857143,7,1
00-0036741,Jack Stoll,2021,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,24,0,0,0,0,0.885714285714286,7,1
00-0039305,Jack Westover,2025,13,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2.69230769230769,25.5384615384615,0.307692307692308,0,0,1,0.56,5,1
00-0040194,Jackson Hawes,2025,9,173,5,37,77,253,126,9,66,0,0,0,1.66666666666667,20.8888888888889,0,0,0,0,3.76428571428571,14,1
00-0033387,Jacob Hollister,2017,11,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,2.72727272727273,45.4545454545455,0.636363636363636,0,0,0,0.692857142857143,14,1
00-0039420,Jaheim Bell,2024,10,231,7,11,74,241,145,10,61,1.33333333333333,0.666666666666667,0.333333333333333,3.9,50.3,0.2,0,0,0,1,4,1
00-0027259,Jake Ballard,2011,9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.44444444444444,14,0,0,0,0,7.31666666666667,18,1
00-0033564,Jake Butt,2018,11,145,5,1,78,246,67,5,78,0,0,0,3.90909090909091,47.0909090909091,0.363636363636364,0,0,1,5.5,3,1
00-0029175,Jake Byrne,2013,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,14,0,0,0,0,0,1,1
00-0038041,Jake Ferguson,2022,12,129,4,24,77,250,176,10,58,0,0,0,3.58333333333333,34.75,0.166666666666667,0,0,0,4.4,12,1
00-0030272,Jake Stoneburner,2013,8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,33.625,0.5,0,0,0,0,3,1
00-0037112,Jake Tonges,2022,10,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.2,27.8,0.2,0,0,0,0,1,1
00-0029634,James Hanna,2012,12,186,6,16,76,252,131,6,63,0,0,0,2.08333333333333,30.25,0.166666666666667,0,0,0,1.84444444444444,9,1
00-0037282,James Mitchell,2022,2,177,5,34,76,249,197,11,55,1,1,0,2.5,21,0.5,0,0,0,3.5375,8,1
00-0035787,Jared Pinkney,2022,8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.5,29.125,0.25,0,0,0,0,1,1
00-0039824,Jared Wiley,2024,12,131,4,31,78,249,118,7,67,0,0,0,3.91666666666667,43.3333333333333,0.666666666666667,0,0,0,1.7,1,1
00-0033627,Jason Croom,2018,8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.375,25.5,0,0,0,0,3.32666666666667,15,1
00-0032227,Jeff Heuerman,2016,8,92,3,28,77,254,104,4,69,0,0,0,2.125,25.875,0.25,0,0,0,3.85,6,1
00-0037755,Jelani Woods,2022,11,73,3,9,79,253,87,4,75,1,1,0,4,54.3636363636364,0.727272727272727,0,0,1,6.18333333333333,12,1
00-0032429,Jerell Adams,2016,11,184,6,9,77,247,69,4,78,0,0,0,2.54545454545455,38.2727272727273,0.272727272727273,0,0,0,3.42,10,1
00-0037805,Jeremy Ruckert,2022,9,101,3,37,78,252,78,3,77,0,0,0,2.55555555555556,31.5555555555556,0.333333333333333,0,1,1,0.9,2,1
00-0033528,Jeremy Sprinkle,2017,12,154,5,10,77,252,170,12,58,0,0,0,2.75,31.6666666666667,0.333333333333333,0,0,0,3.1,3,1
