"player_key","athlete_name","season","position","games","overall","round","pick","height","weight","pre_draft_ranking","pre_draft_position_ranking","pre_draft_grade","fumbles_rec_pg","fumbles_lost_pg","fumbles_fum_pg","interceptions_td_pg","interceptions_yds_pg","interceptions_int_pg","receiving_td_pg","receiving_yds_pg","receiving_rec_pg","rushing_td_pg","rushing_yds_pg","rushing_car_pg","receiving_long","rushing_long","receiving_avg","rushing_avg","nfl_player_id","nfl_name","nfl_rookie_season","avg_weekly_ppr","n_weeks"
"camden overton","Camden Overton",2025,"TE",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,26.4,3,NA,NA,NA,20,NA,8.8,NA,NA,NA,NA,NA,NA
"cameron ball","Cameron Ball",2025,"TE",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,1,NA,NA,NA,9,NA,6,NA,NA,NA,NA,NA,NA
"cameron barmore","Cameron Barmore",2025,"TE",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,25.6,2.8,NA,NA,NA,19,NA,9.14285714285714,NA,NA,NA,NA,NA,NA
"cameron harpole","Cameron Harpole",2025,"TE",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,15.4,2,NA,NA,NA,21,NA,7.7,NA,NA,NA,NA,NA,NA
"cameron heald","Cameron Heald",2025,"TE",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,14.8,2.3,NA,NA,NA,22,NA,6.43478260869565,NA,NA,NA,NA,NA,NA
"carsen ryan","Carsen Ryan",2025,"TE",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.272727272727273,42.9090909090909,3.18181818181818,NA,NA,NA,43,NA,13.4857142857143,NA,NA,NA,NA,NA,NA
"carson bruhn","Carson Bruhn",2025,"TE",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13.75,1.25,NA,NA,NA,16,NA,11,NA,NA,NA,NA,NA,NA
"carson jacoby","Carson Jacoby",2025,"TE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,1,NA,NA,NA,6,NA,6,NA,NA,NA,NA,NA,NA
"carson kent","Carson Kent",2025,"TE",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8.66666666666667,1,NA,NA,NA,13,NA,8.66666666666667,NA,NA,NA,NA,NA,NA
"carson kolb","Carson Kolb",2025,"TE",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
