"player_key","athlete_name","season","position","games","overall","round","pick","height","weight","pre_draft_ranking","pre_draft_position_ranking","pre_draft_grade","fumbles_rec_pg","fumbles_lost_pg","fumbles_fum_pg","interceptions_td_pg","interceptions_yds_pg","interceptions_int_pg","rushing_long","rushing_td_pg","rushing_yds_pg","rushing_car_pg","passing_int_pg","passing_td_pg","passing_yds_pg","passing_completions_pg","passing_attempts_pg","passing_avg","rushing_avg","passing_qbr","athlete_id","nfl_player_id","nfl_name","nfl_rookie_season","avg_weekly_ppr","n_weeks"
"david blough","David Blough",2018,"QB",12,NA,NA,NA,NA,NA,NA,NA,NA,0,0.333333333333333,1,NA,NA,NA,21,0.166666666666667,2.66666666666667,5.75,0.666666666666667,2.08333333333333,293.416666666667,23.5833333333333,35.4166666666667,8.28470588235294,0.463768115942029,NA,3116188,"00-0035040","David Blough",2019,11.072,5
"david fales","David Fales",2013,"QB",12,183,6,7,74,212,121,8,63,NA,NA,NA,NA,NA,NA,16,0.181818181818182,0.636363636363636,4.36363636363636,1.08333333333333,2.75,349.083333333333,26,40.5833333333333,8.60164271047228,0.145833333333333,66.9636363636364,480550,"00-0031076","David Fales",2016,0.88,1
"davis mills","Davis Mills",2020,"QB",3,67,3,3,76,217,63,6,79,NA,NA,NA,NA,NA,NA,15,0.333333333333333,9.33333333333333,4.66666666666667,0,1,263.333333333333,24.6666666666667,39,6.75213675213675,2,NA,4242546,"00-0036898","Davis Mills",2021,12.0738461538462,13
"davis webb","Davis Webb",2016,"QB",12,87,3,23,77,229,95,7,73,0,0.333333333333333,1.66666666666667,NA,NA,NA,8,0.5,-9.16666666666667,2.75,1,3.08333333333333,357.916666666667,31.8333333333333,51.6666666666667,6.92741935483871,-3.33333333333333,60.125,550386,"00-0033550","Davis Webb",2021,-0.3,1
"derek carr","Derek Carr",2013,"QB",11,36,2,4,74,214,95,7,68,NA,NA,NA,NA,NA,NA,17,0.181818181818182,12.3636363636364,3.36363636363636,0.454545454545455,4.09090909090909,405.636363636364,35.2727272727273,50.1818181818182,8.08333333333333,3.67567567567568,83.92,484080,"00-0031280","Derek Carr",2014,12,16
"deshaun watson","Deshaun Watson",2016,"QB",13,12,1,12,75,221,28,2,88,0,0.5,1,NA,NA,NA,23,0.461538461538462,40.6923076923077,9.92307692307692,1.15384615384615,2.84615384615385,301.076923076923,25.2307692307692,37.3846153846154,8.05349794238683,4.10077519379845,74.3615384615385,3122840,"00-0033537","Deshaun Watson",2017,24.1228571428571,7
"deshone kizer","DeShone Kizer",2016,"QB",12,52,2,20,76,233,54,4,82,0,0.6,1,NA,NA,NA,49,0.666666666666667,39.3333333333333,10.75,0.75,2.16666666666667,243.75,17.6666666666667,30.0833333333333,8.10249307479224,3.65891472868217,63.3333333333333,3129302,"00-0033899","DeShone Kizer",2017,11.7106666666667,15
"desmond ridder","Desmond Ridder",2021,"QB",13,74,3,10,75,211,43,3,86,0,0.666666666666667,1,NA,NA,NA,40,0.461538461538462,27.7692307692308,7.69230769230769,0.615384615384615,2.30769230769231,245.384615384615,18,27.3076923076923,8.98591549295775,3.61,73.8307692307692,4239086,"00-0038122","Desmond Ridder",2022,9.68,4
"devlin hodges","Devlin Hodges",2018,"QB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,475,39,60,7.91666666666667,NA,NA,3127051,"00-0035577","Devlin Hodges",2019,6.415,8
"dillon gabriel","Dillon Gabriel",2024,"QB",12,94,3,30,71,205,217,10,47,0,1,1,NA,NA,NA,54,0.583333333333333,14.5833333333333,4.75,0.5,2,272.916666666667,22.9166666666667,31.1666666666667,8.75668449197861,3.07017543859649,80.5666666666667,4427238,"00-0040704","Dillon Gabriel",2025,7.008,10
"dominique davis","Dominique Davis",2011,"QB",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,0.416666666666667,14.3333333333333,7.75,1.58333333333333,2.08333333333333,268.75,27.8333333333333,41.1666666666667,6.52834008097166,1.8494623655914,53.7916666666667,500941,"00-0028863","Dominique Davis",2013,3.36,1
"dorian thompson robinson","Dorian Thompson-Robinson",2022,"QB",12,140,5,6,74,203,143,8,60,0,0.5,1.16666666666667,NA,NA,NA,68,1,57.4545454545455,10.1818181818182,0.583333333333333,2.08333333333333,240.25,20.8333333333333,29.8333333333333,8.05307262569832,5.64285714285714,79.8666666666667,4367178,"00-0038583","Dorian Thompson-Robinson",2023,3.15714285714286,7
"drake maye","Drake Maye",2023,"QB",12,3,1,3,76,223,6,3,93,0,0.666666666666667,1,NA,NA,NA,56,0.75,37.4166666666667,9.33333333333333,0.75,2,300.666666666667,22.4166666666667,35.4166666666667,8.48941176470588,4.00892857142857,77.5,4431452,"00-0039851","Drake Maye",2024,13.6261538461538,13
"drew lock","Drew Lock",2018,"QB",12,42,2,10,76,228,24,3,89,0,0.5,1.5,NA,NA,NA,27,0.5,12.0833333333333,4.08333333333333,0.666666666666667,2.08333333333333,260.416666666667,21,33.25,7.83208020050125,2.95918367346939,NA,3924327,"00-0035704","Drew Lock",2019,13.6,5
"dwayne haskins","Dwayne Haskins",2018,"QB",13,15,1,15,75,231,15,2,90,0,0.666666666666667,1.33333333333333,NA,NA,NA,17,0.307692307692308,9.38461538461539,5.61538461538461,0.615384615384615,3.53846153846154,346.153846153846,26.6153846153846,38,9.10931174089069,1.67123287671233,NA,4040616,"00-0035232","Dwayne Haskins",2019,8.52222222222222,9
"easton stick","Easton Stick",2016,"QB",1,166,5,28,73,224,330,13,35,NA,NA,NA,NA,NA,NA,29,0,35,11,1,1,124,11,19,6.52631578947368,3.18181818181818,0,3120590,"00-0035282","Easton Stick",2020,-0.04,1
"ej manuel","EJ Manuel",2012,"QB",13,16,1,16,77,237,77,6,76,NA,NA,NA,NA,NA,NA,28,0.25,23.6666666666667,8.08333333333333,0.769230769230769,1.69230769230769,238.538461538462,18.2307692307692,26.8461538461538,8.88538681948424,2.92783505154639,67.2076923076923,380849,"00-0030526","EJ Manuel",2013,13.348,10
"gardner minshew","Gardner Minshew",2018,"QB",12,178,6,5,73,225,240,10,49,0,0,1,NA,NA,NA,12,0.272727272727273,9.36363636363636,4.72727272727273,0.75,3,373.083333333333,36.0833333333333,51.0833333333333,7.30342577487765,1.98076923076923,NA,4038524,"00-0035289","Gardner Minshew",2019,16.3742857142857,14
"garrett gilbert","Garrett Gilbert",2013,"QB",10,214,6,38,76,220,315,16,31,NA,NA,NA,NA,NA,NA,53,0.6,26.7,8.3,0.7,2.1,352.8,33.5,50.4,7,3.21686746987952,60.49,480209,"00-0031395","Garrett Gilbert",2018,1.6,1
"geno smith","Geno Smith",2012,"QB",12,39,2,7,74,218,28,1,89,NA,NA,NA,NA,NA,NA,28,0.166666666666667,12.9166666666667,5.25,0.5,3.33333333333333,333.666666666667,29.1666666666667,40.8333333333333,8.17142857142857,2.46031746031746,69.425,488025,"00-0030565","Geno Smith",2013,12.17125,16
"greg mcelroy","Greg McElroy",2010,"QB",12,208,7,5,74,220,196,10,49,NA,NA,NA,NA,NA,NA,17,0.0833333333333333,-1.33333333333333,4.91666666666667,0.416666666666667,1.58333333333333,230.583333333333,17.4166666666667,24.6666666666667,9.34797297297297,-0.271186440677966,69.6083333333333,191494,"00-0028146","Greg McElroy",2012,5.78,2
"hendon hooker","Hendon Hooker",2022,"QB",11,68,3,5,75,217,33,5,86,0,0.6,1.2,NA,NA,NA,44,0.454545454545455,39.0909090909091,9.45454545454546,0.181818181818182,2.45454545454545,285,20.8181818181818,29.9090909090909,9.52887537993921,4.13461538461539,86.6636363636364,4240858,"00-0038550","Hendon Hooker",2024,0.893333333333333,3
"ian book","Ian Book",2020,"QB",10,133,4,28,72,211,221,10,43,0,1,1,NA,NA,NA,33,0.8,46.6,9.2,0.2,1.5,238.2,18.1,28.6,8.32867132867133,5.06521739130435,NA,4046678,"00-0036929","Ian Book",2021,2,1
"j j mccarthy","J.J. McCarthy",2023,"QB",13,10,1,10,75,219,9,4,92,0,0,1.5,NA,NA,NA,22,0.230769230769231,11.2307692307692,4.38461538461539,0.307692307692308,1.46153846153846,202.307692307692,16.3846153846154,22.0769230769231,9.16376306620209,2.56140350877193,81.3461538461538,4433970,"00-0039923","J.J. McCarthy",2025,12.538,10
"jacob eason","Jacob Eason",2019,"QB",12,122,4,16,78,231,56,6,81,0,1,1.5,NA,NA,NA,19,0.0909090909090909,-5.54545454545455,3.63636363636364,0.666666666666667,1.83333333333333,243.5,19.8333333333333,31.0833333333333,7.83378016085791,-1.525,66.4375,4035003,"00-0036226","Jacob Eason",2021,-1,1
"jacoby brissett","Jacoby Brissett",2015,"QB",12,91,3,28,76,231,109,7,68,NA,NA,NA,NA,NA,NA,31,0.416666666666667,25.25,9.41666666666667,0.333333333333333,1.58333333333333,204,18.75,30.5833333333333,6.67029972752044,2.68141592920354,62.675,512191,"00-0033119","Jacoby Brissett",2016,9.43333333333333,3
"jake browning","Jake Browning",2018,"QB",13,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,1,NA,NA,NA,25,0.307692307692308,9.92307692307692,6.07692307692308,0.769230769230769,1.23076923076923,220,16.6153846153846,25.5384615384615,8.6144578313253,1.63291139240506,NA,3886812,"00-0035100","Jake Browning",2023,16.0488888888889,9
"jake fromm","Jake Fromm",2019,"QB",12,167,5,22,74,219,54,5,82,0,0.333333333333333,1,NA,NA,NA,15,0,0.363636363636364,2.72727272727273,0.25,1.75,198.75,16.1666666666667,26.0833333333333,7.61980830670927,0.133333333333333,67.0857142857143,4240689,"00-0036197","Jake Fromm",2021,3.63333333333333,3
"jake haener","Jake Haener",2022,"QB",9,127,4,25,72,207,92,6,71,0,1,1,NA,NA,NA,9,0.222222222222222,-12.3333333333333,4.44444444444444,0.333333333333333,2,290.666666666667,25.3333333333333,34.8888888888889,8.3312101910828,-2.775,69.7125,4243322,"00-0038998","Jake Haener",2024,1.655,8
"jake locker","Jake Locker",2010,"QB",11,8,1,8,75,231,25,3,90,NA,NA,NA,NA,NA,NA,54,0.454545454545455,27.4545454545455,9.18181818181818,0.818181818181818,1.54545454545455,200.818181818182,16.2727272727273,28.7272727272727,6.99050632911392,2.99009900990099,40.2818181818182,184374,"00-0027946","Jake Locker",2011,9.856,5
"jake luton","Jake Luton",2019,"QB",11,189,6,10,78,224,204,11,47,NA,NA,NA,NA,NA,NA,19,0.1,-8.7,4.4,0.272727272727273,2.54545454545455,246.727272727273,20.1818181818182,32.5454545454545,7.58100558659218,-1.97727272727273,61.8285714285714,3124900,"00-0036312","Jake Luton",2020,9.42,3
"jake rudock","Jake Rudock",2015,"QB",12,191,6,16,75,207,335,17,32,NA,NA,NA,NA,NA,NA,23,0.333333333333333,11.4166666666667,4.5,0.75,1.41666666666667,228.25,19.0833333333333,29.8333333333333,7.65083798882682,2.53703703703704,61.5666666666667,518380,"00-0032431","Jake Rudock",2017,-0.346666666666667,3
"jalen hurts","Jalen Hurts",2019,"QB",12,53,2,21,73,222,94,7,70,0,1,1.4,NA,NA,NA,52,1.5,101.416666666667,16.3333333333333,0.5,2.58333333333333,278.916666666667,17.0833333333333,23.8333333333333,11.7027972027972,6.20918367346939,93.025,4040715,"00-0036389","Jalen Hurts",2020,7.79571428571429,14
"jalen milroe","Jalen Milroe",2024,"QB",12,92,3,28,74,217,81,5,75,0,0.8,1.4,NA,NA,NA,72,1.66666666666667,59.9166666666667,12.6666666666667,0.833333333333333,1.25,221,15.75,23.9166666666667,9.2404181184669,4.73026315789474,77.125,4432734,"00-0040673","Jalen Milroe",2025,-0.533333333333333,3
"jameis winston","Jameis Winston",2014,"QB",11,1,1,1,76,231,1,1,97,NA,NA,NA,NA,NA,NA,28,0.272727272727273,6.81818181818182,4.36363636363636,1.54545454545455,1.90909090909091,295.454545454545,23.1818181818182,35.6363636363636,8.29081632653061,1.5625,62.1727272727273,530308,"00-0031503","Jameis Winston",2015,17.18625,16
"jared goff","Jared Goff",2015,"QB",12,1,1,1,76,215,11,2,91,NA,NA,NA,NA,NA,NA,20,0,0.727272727272727,4.90909090909091,1.08333333333333,3.08333333333333,354.333333333333,26.3333333333333,41,8.64227642276423,0.148148148148148,73.3,547401,"00-0033106","Jared Goff",2016,7.59428571428571,7
"jaren hall","Jaren Hall",2022,"QB",12,164,5,30,72,207,123,7,64,0,0.25,1.25,NA,NA,NA,48,0.25,28.8333333333333,7.16666666666667,0.5,2.58333333333333,264.25,20.6666666666667,31.3333333333333,8.43351063829787,4.02325581395349,76.575,4373632,"00-0038598","Jaren Hall",2023,0.706666666666667,3
