"player_id","season","games","sacks_suffered_pg","sack_yards_lost_pg","sack_fumbles_pg","sack_fumbles_lost_pg","carries_pg","rushing_yards_pg","rushing_tds_pg","rushing_fumbles_pg","rushing_fumbles_lost_pg","rushing_first_downs_pg","rushing_epa_pg","rushing_2pt_conversions_pg","receptions_pg","targets_pg","receiving_yards_pg","receiving_tds_pg","receiving_fumbles_pg","receiving_fumbles_lost_pg","receiving_air_yards_pg","receiving_yards_after_catch_pg","receiving_first_downs_pg","receiving_epa_pg","receiving_2pt_conversions_pg","racr_pg","target_share_pg","air_yards_share_pg","wopr_pg","fumble_recovery_own_pg","fumble_recovery_yards_own_pg","fumble_recovery_tds_pg","penalties_pg","penalty_yards_pg"
"00-0034270",2025,6,0,0,0,0,0.166666666666667,0.333333333333333,0,0,0,0.166666666666667,0.539093475381378,0,1.16666666666667,1.66666666666667,16.8333333333333,0,0.166666666666667,0,7.5,9.5,0.5,-0.61327231145079,0,1.33223443223443,0.0466587638511013,0.034831012021628,0.0943698541917917,0,0,0,0,0
"00-0034351",2025,16,0,0,0,0,0.0625,0.0625,0.0625,0,0,0.0625,1.08807408227585,0,4,5.5625,39,0.75,0,0,41.875,15.1875,2.25,2.37136597337926,0,1.21123594066417,0.207488105227062,0.159874947487095,0.423144621081559,0,0,0,0,0
"00-0034365",2025,9,0,0,0,0,0,0,0,0,0,0,NA,0,1.44444444444444,1.44444444444444,12.6666666666667,0,0,0,4.66666666666667,8,0.555555555555556,0.724763705395162,0,4.0156862745098,0.0434321801598689,0.0243624393862234,0.0822019778101597,0,0,0,0.111111111111111,1.11111111111111
"00-0034383",2025,19,0,0,0,0,0,0,0,0,0,0,NA,0,4.57894736842105,5.89473684210526,44,0.157894736842105,0.0526315789473684,0,36.2105263157895,21.1052631578947,2.21052631578947,2.20483180131918,0,1.60324753542278,0.179496398760314,0.141174924203654,0.36806704508303,0,0,0,0.368421052631579,2.63157894736842
"00-0034613",2025,10,0,0,0,0,0,0,0,0,0,0,NA,0,1.9,2.4,16.8,0.2,0,0,11.9,8.3,0.8,0.0566147700697564,0,2.03193520272831,0.0641370683922866,0.0375643006270503,0.122500613027365,0,0,0,0.1,1
"00-0034753",2025,17,0,0,0,0,0.588235294117647,2.82352941176471,0.0588235294117647,0,0,0.411764705882353,1.08678992443796,0,2.82352941176471,4.11764705882353,24.8235294117647,0.294117647058824,0.0588235294117647,0,29.8823529411765,5.94117647058824,1.41176470588235,0.0910380439026682,0,0.816343866647663,0.170681317902165,0.16348348628656,0.37046041725384,0,0,0,0.294117647058824,2.35294117647059
"00-0034798",2025,9,0,0,0,0,0,0,0,0,0,0,NA,0,0.666666666666667,1,4,0,0,0,5.77777777777778,1.66666666666667,0.111111111111111,-0.0364789990902255,0,0.909219001610306,0.0299021429456212,0.0132975278629635,0.0541614839225062,0,0,0,0.333333333333333,2.77777777777778
"00-0034829",2025,12,0,0,0,0,0,0,0,0,0,0,NA,0,2.33333333333333,3.5,25.5833333333333,0.166666666666667,0,0,34.8333333333333,5.25,1.58333333333333,0.365391683848437,0,0.81336946480414,0.103430749853864,0.13106222968674,0.246889685561513,0,0,0,0.0833333333333333,0.416666666666667
"00-0034981",2025,7,0,0,0,0,0,0,0,0,0,0,NA,0,1,1.42857142857143,8.42857142857143,0,0,0,1.42857142857143,6.28571428571429,0.285714285714286,-0.533672143638667,0,1.65714285714286,0.0467431561365839,0.0103346996685871,0.077349023972887,0,0,0,0.142857142857143,0.714285714285714
"00-0035229",2025,15,0,0,0,0,0.0666666666666667,0,0,0,0,0,-1.10678490594728,0,3.4,4.4,29.2,0.2,0,0,21.9333333333333,14.6,1.46666666666667,0.939697697191371,0,1.67005886693518,0.159430384754106,0.101962685205006,0.310519456774663,0,0,0,0.2,1.33333333333333
"00-0035249",2025,12,0,0,0,0,0,0,0,0,0,0,NA,0,1.25,1.58333333333333,13.3333333333333,0.333333333333333,0,0,5.33333333333333,8.5,0.75,0.877787425142751,0,2.05137741046832,0.0653415683906413,0.0370561790854268,0.123951677945761,0.0833333333333333,0.0833333333333333,0,0.166666666666667,1.25
"00-0035631",2025,12,0,0,0,0,0.0833333333333333,0.25,0,0,0,0,-0.583710714941844,0,1.25,1.66666666666667,8.83333333333333,0.0833333333333333,0,0,-0.583333333333333,9.08333333333333,0.416666666666667,0.241073368815705,0,1.74747474747475,0.0487135748027901,0.000941206924659037,0.0737292070514466,0,0,0,0.0833333333333333,0.833333333333333
"00-0035644",2025,13,0,0,0,0,0,0,0,0,0,0,NA,0,2.61538461538462,3.15384615384615,22.1538461538462,0.230769230769231,0.230769230769231,0.230769230769231,10.5384615384615,13.3846153846154,1,-0.906445771100053,0,3.11542951866408,0.0915441337133054,0.0366791226310396,0.162991586411686,0,0,0,0.230769230769231,1.46153846153846
"00-0035689",2025,18,0,0,0,0,0,0,0,0,0,0,NA,0,2.33333333333333,3.16666666666667,26.6111111111111,0.222222222222222,0,0,21.6111111111111,11.6111111111111,1.44444444444444,1.04182258351512,0.0555555555555556,1.5303408443012,0.109973544526685,0.120258823189239,0.249141493022494,0,0,0,0.111111111111111,0.777777777777778
"00-0035956",2025,2,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.5,0,0,0,0,1.5,0,0,-0.901857088902034,0,0,0.0172413793103449,0.00753768844221105,0.031138450875065,0,0,0,1,7.5
"00-0036040",2025,17,0,0,0,0,0,0,0,0,0,0,NA,0,4.52941176470588,6,52.2941176470588,0.176470588235294,0.117647058823529,0.117647058823529,45.4705882352941,21.2941176470588,2.41176470588235,2.07155418819257,0,1.43259404672829,0.176683546769657,0.155364613631933,0.373780549696838,0,0,0,0.117647058823529,0.882352941176471
"00-0036232",2025,6,0,0,0,0,0,0,0,0,0,0,NA,0,0.833333333333333,2,4.66666666666667,0,0,0,15.1666666666667,1.66666666666667,0.333333333333333,-0.758614795817993,0,0.382828282828283,0.0531542606651486,0.0495796408621157,0.114437139601204,0,0,0,0,0
"00-0036244",2025,17,0,0,0,0,0,0,0,0,0,0,NA,0,3,4.11764705882353,32.9411764705882,0.529411764705882,0.117647058823529,0.0588235294117647,21.0588235294118,21.6470588235294,1.82352941176471,1.23312141956925,0,2.34764747606464,0.117594206443083,0.0517255796543276,0.212599215422653,0,0,0,0.117647058823529,0.882352941176471
"00-0036290",2025,18,0,0,0,0,0.0555555555555556,0.0555555555555556,0,0,0,0,-0.295933315414004,0,1.83333333333333,2.94444444444444,21,0.166666666666667,0,0,25.2222222222222,8.72222222222222,1.05555555555556,0.709610110985529,0.0555555555555556,0.876739601153725,0.0914991241940941,0.0898029897235696,0.20011077909764,0,0,0,0.166666666666667,0.777777777777778
"00-0036332",2025,7,0,0,0,0,0,0,0,0,0,0,NA,0,0.428571428571429,0.714285714285714,3,0.142857142857143,0,0,3.28571428571429,0.714285714285714,0.285714285714286,0.350306575739524,0,0.64090909090909,0.0214825333159023,0.0114177908649112,0.0402162535792914,0,0,0,0.285714285714286,2.85714285714286
