"player_id","season","player_display_name","games","sacks_suffered_pg","sack_yards_lost_pg","sack_fumbles_pg","sack_fumbles_lost_pg","carries_pg","rushing_yards_pg","rushing_tds_pg","rushing_fumbles_pg","rushing_fumbles_lost_pg","rushing_first_downs_pg","rushing_epa_pg","rushing_2pt_conversions_pg","receptions_pg","targets_pg","receiving_yards_pg","receiving_tds_pg","receiving_fumbles_pg","receiving_fumbles_lost_pg","receiving_air_yards_pg","receiving_yards_after_catch_pg","receiving_first_downs_pg","receiving_epa_pg","receiving_2pt_conversions_pg","racr_pg","target_share_pg","air_yards_share_pg","wopr_pg","fumble_recovery_own_pg","fumble_recovery_yards_own_pg","fumble_recovery_tds_pg","penalties_pg","penalty_yards_pg"
"00-0033943",2025,"Josh Reynolds",5,0,0,0,0,0,0,0,0,0,0,NA,0,2.2,4.2,20.2,0,0,0,55.2,2.8,0.8,-0.484441635812958,0.2,0.593855229530562,0.157132577697094,0.215137350352934,0.386295011792695,0,0,0,0,0
"00-0034054",2025,"River Cracraft",2,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0
"00-0034272",2025,"Marquez Valdes-Scantling",9,0,0,0,0,0,0,0,0,0,0,NA,0,1.55555555555556,3.22222222222222,13.3333333333333,0.111111111111111,0.111111111111111,0,39.3333333333333,3.11111111111111,0.666666666666667,-0.338329856634884,0,0.424470113522401,0.0827593609026357,0.150842523988846,0.229728808146146,0.111111111111111,0.111111111111111,0,0.111111111111111,1.11111111111111
"00-0034348",2025,"Courtland Sutton",17,0.0588235294117647,-0.294117647058824,0,0,0,0,0,0,0,0,NA,0,4.35294117647059,7.29411764705882,59.8235294117647,0.411764705882353,0,0,90.7058823529412,13.0588235294118,3.05882352941176,2.68199511595157,0.0588235294117647,0.695887124974023,0.210675060691711,0.344453242097044,0.557129860505497,0,0,0,0,0
"00-0034386",2025,"Justin Watson",3,0,0,0,0,0,0,0,0,0,0,NA,0,1,1.33333333333333,10,0,0,0,11,4.66666666666667,0.333333333333333,0.6757511465339,0,1.04323308270677,0.0536768652710682,0.0596104154243689,0.122242588703661,0,0,0,0,0
"00-0034407",2025,"Ray-Ray McCloud",6,0,0,0,0,0,0,0,0,0,0,NA,0,1.16666666666667,2.5,11.5,0,0,0,14,7.66666666666667,0.666666666666667,-1.89039523939229,0,0.604545454545455,0.0740683351201643,0.0618172355099114,0.154374567537185,0,0,0,0.333333333333333,2.5
"00-0034418",2025,"Cedrick Wilson Jr.",6,0,0,0,0,0,0,0,0,0,0,NA,0,0.833333333333333,1.5,7.33333333333333,0,0,0,13.1666666666667,4.16666666666667,0.5,-0.369051971433994,0,0.716534391534391,0.0621315411545297,0.0626470178186858,0.137050224204875,0,0,0,0.166666666666667,1.66666666666667
"00-0034419",2025,"Braxton Berrios",4,0,0,0,0,0,0,0,0,0,0,NA,0,1.5,2,9.25,0,0,0,6,4.5,0.75,1.17982003750513,0,0.73076923076923,0.0491990846681922,0.0180515239477504,0.0864346937657135,0,0,0,0,0
"00-0034487",2025,"Trent Sherfield",4,0,0,0,0,0,0,0,0,0,0,NA,0,0.75,1.25,5.25,0,0,0,11.25,3.5,0.25,-0.21366864904121,0,0.348684210526316,0.0346607971607971,0.0368902004487926,0.0778143360553506,0,0,0,0.75,7.5
"00-0034521",2025,"Allen Lazard",9,0,0,0,0,0,0,0,0,0,0,NA,0,1.11111111111111,2,7.77777777777778,0.111111111111111,0,0,15.7777777777778,3.66666666666667,0.444444444444444,-1.07304313161876,0,0.700864228283583,0.0631962115609069,0.0572895277003781,0.134896986731625,0,0,0,0.111111111111111,0.555555555555556
"00-0034775",2025,"Christian Kirk",11,0,0,0,0,0,0,0,0,0,0,NA,0,2.54545454545455,4.72727272727273,21.7272727272727,0.0909090909090909,0,0,33.1818181818182,10.4545454545455,1.09090909090909,-1.92435703166935,0,0.740428254178682,0.145783050828764,0.115279734225278,0.299370390200841,0,0,0,0,0
"00-0034827",2025,"DJ Moore",17,0,0,0,0,0.882352941176471,4.64705882352941,0.0588235294117647,0,0,0.294117647058824,0.463648031258749,0,2.94117647058824,5,40.1176470588235,0.352941176470588,0,0,58.1176470588235,13.0588235294118,1.88235294117647,0.801364558381559,0,0.773396909785115,0.161339925696059,0.198831392730072,0.381191863455138,0,0,0,0.352941176470588,2.29411764705882
"00-0034837",2025,"Calvin Ridley",7,0,0,0,0,0,0,0,0,0,0,NA,0,2.42857142857143,5.14285714285714,43.2857142857143,0,0,0,64.7142857142857,12,1.85714285714286,1.74588929026646,0,0.86718873820058,0.168189333628654,0.244170211582278,0.423203148550575,0,0,0,0,0
"00-0034854",2025,"KhaDarel Hodge",8,0,0,0,0,0,0,0,0,0,0,NA,0,0.375,1.25,3.875,0,0,0,18.75,1.125,0.25,-0.930720676473918,0,0.0984126984126983,0.0406198686371101,0.0666510792913657,0.107585558459621,0,0,0,0.125,1.25
"00-0034860",2025,"Dante Pettis",8,0,0,0,0,0,0,0,0,0,0,NA,0,1.125,1.375,15.875,0,0.125,0.125,13.125,10.75,0.5,-1.00816208949252,0,1.57142857142857,0.0424674226719662,0.0424931009685844,0.0934463046859582,0,0,0,0.25,1.875
"00-0034867",2025,"Malik Turner",2,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.5,0,0,0,0,-2.5,0,0,-0.565274677006528,0,0,0.0104166666666667,-0.0086206896551724,0.0095905172413793,0,0,0,0,0
"00-0034928",2025,"Steven Sims",3,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0,-0.555991165339947,0,0,0.0114942528735632,0.00292397660818713,0.0192881629360758,0,0,0,0,0
"00-0034960",2025,"Jakobi Meyers",16,0,0,0,0,0.3125,0.8125,0,0,0,0.0625,-0.135685280246738,0,4.6875,6.875,52.1875,0.1875,0.0625,0.0625,63,17.625,2.6875,0.625879480899148,0,0.884716078556044,0.228739276563503,0.282485899500883,0.540849044495873,0,0,0,0.1875,1.875
"00-0034983",2025,"Hunter Renfrow",6,0,0,0,0,0,0,0,0,0,0,NA,0,2.5,4.33333333333333,14.8333333333333,0.333333333333333,0,0,32.3333333333333,4,1.33333333333333,-0.333806637051318,0,0.579650422041726,0.130299630334314,0.13243486582135,0.288153851576415,0,0,0,0,0
