"player_key","games","fumbles_rec","fumbles_lost","fumbles_fum","interceptions_td","interceptions_yds","interceptions_int","receiving_td","receiving_yds","receiving_rec","rushing_td","rushing_yds","rushing_car","receiving_long","rushing_long","receiving_avg","rushing_avg","nfl_player_id","nfl_name","nfl_rookie_season","avg_weekly_ppr","n_weeks"
"cedric tillman",6,0,0,0,0,0,0,3,417,37,0,0,0,61,NA,11.2702702702703,NA,"00-0038979","Cedric Tillman",2023,4.01818181818182,11
"ceedee lamb",11,0,1,1,0,0,0,14,1035,50,1,18,8,71,21,20.7,2.25,"00-0036358","CeeDee Lamb",2020,13.60625,16
"chad beebe",9,0,2,2,0,0,0,1,417,28,0,-1,1,73,0,14.8928571428571,-1,"00-0034309","Chad Beebe",2018,2.63333333333333,3
"chad hansen",10,0,0,0,0,0,0,11,1249,92,0,0,0,70,NA,13.5760869565217,NA,"00-0033840","Chad Hansen",2017,2.3,8
"chad williams",1,0,1,1,0,0,0,0,152,13,0,0,0,43,NA,11.6923076923077,NA,"00-0033933","Chad Williams",2017,1.56666666666667,6
"charlie jones",13,0,1,1,0,0,0,12,1361,110,0,3,2,60,2,12.3727272727273,1.5,"00-0038576","Charlie Jones",2023,1.88181818181818,11
"chase claypool",12,1,0,0,0,0,0,12,891,59,0,0,0,47,NA,15.1016949152542,NA,"00-0036326","Chase Claypool",2020,13.9882352941176,17
"chimere dike",12,0,0,3,0,0,0,2,687,36,0,0,0,44,NA,19.0833333333333,NA,"00-0040705","Chimere Dike",2025,7.53529411764706,17
"chris blair",1,0,0,0,0,0,0,0,67,4,0,0,0,37,NA,16.75,NA,"00-0036463","Chris Blair",2024,1.35,2
"chris lacy",10,0,0,1,0,0,0,0,249,19,0,26,1,32,26,13.1052631578947,26,"00-0034593","Chris Lacy",2018,0,1
"chris olave",11,0,0,0,0,0,0,13,936,65,0,0,0,61,NA,14.4,NA,"00-0037239","Chris Olave",2022,13.2133333333333,15
