player_id,player_display_name,season,games,overall,round,pick,height,weight,pre_draft_ranking,pre_draft_position_ranking,pre_draft_grade,carries_pg,rushing_yards_pg,rushing_tds_pg,receptions_pg,receiving_yards_pg,receiving_tds_pg,fumble_recovery_own_pg,rushing_fumbles_lost_pg,rushing_fumbles_pg,target_fp_ppr,target_games,college_flag
00-0019642,Plaxico Burress,2007,20,8,1,8,NA,NA,NA,NA,NA,0,0,0,4.4,62.45,0.65,0,0,0,11.6,9,0
00-0019642,Plaxico Burress,2011,16,8,1,8,NA,NA,NA,NA,NA,0,0,0,2.8125,38.25,0.5,0,0,0,4.4,3,0
00-0019650,Dennis Northcutt,2004,16,32,2,1,NA,NA,NA,NA,NA,0.5,1.1875,0,3.4375,50.375,0.125,0.0625,0,0,6.7125,16,0
00-0019650,Dennis Northcutt,2005,16,32,2,1,NA,NA,NA,NA,NA,0.125,2.0625,0,2.625,27.5625,0.125,0,0,0,3.53846153846154,13,0
00-0019650,Dennis Northcutt,2006,13,32,2,1,NA,NA,NA,NA,NA,0.230769230769231,2.46153846153846,0,1.69230769230769,17.5384615384615,0,0,0.0769230769230769,0.0769230769230769,8.33529411764706,17,0
00-0019650,Dennis Northcutt,2007,17,32,2,1,NA,NA,NA,NA,NA,0.352941176470588,1.58823529411765,0,2.88235294117647,38.8235294117647,0.235294117647059,0.0588235294117647,0,0,7.81428571428571,14,0
00-0019650,Dennis Northcutt,2008,14,32,2,1,NA,NA,NA,NA,NA,0.0714285714285714,0.642857142857143,0,3.14285714285714,38.9285714285714,0.142857142857143,0,0,0,4.675,16,0
00-0019660,Dez White,2004,16,69,3,7,NA,NA,NA,NA,NA,0.1875,0.875,0,2,23.75,0.125,0.0625,0,0,3.5,3,0
00-0019663,Darrell Jackson,2004,17,80,3,18,NA,NA,NA,NA,NA,0,0,0,5.82352941176471,78.5294117647059,0.470588235294118,0,0,0,18.1888888888889,9,0
00-0019663,Darrell Jackson,2005,9,80,3,18,NA,NA,NA,NA,NA,0.111111111111111,0.777777777777778,0,6.44444444444444,83.3333333333333,0.555555555555556,0,0,0,16.25,14,0
